,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs1n30.dat,3,31,1,9041,4293,2.10599,0,5229,4293,1.21803,1,6,0,0,3457,4950,0.698384,1,8112,3875,2.09342,0,5006,3875,1.29187,2,5,0,0,3457,4950,0.698384,0,9307,4071,2.28617,0,5028,4071,1.23508,1,5,0,0,3457,4950,0.698384,0,9382,4222,2.22217,0,5196,4222,1.2307,2,5,0,0,3457,4950,0.698384,0,9229,4071,2.26701,0,5242,4071,1.28764,1,5,0,0,3457,4950,0.698384,0,3457,4950,0.698384,2,8,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs2n30.dat,3,31,1,7424,4065,1.82632,0,4214,4065,1.03665,2,5,0,0,3783,4720,0.801483,1,9632,4117,2.33957,0,4937,4117,1.19917,2,9,0,0,3814,4958,0.769262,2,8808,3981,2.21251,0,4673,3981,1.17383,1,5,0,0,3814,4958,0.769262,0,9067,3952,2.29428,0,4780,3952,1.20951,2,5,0,0,3814,4958,0.769262,0,8235,4299,1.91556,0,4870,4299,1.13282,2,5,0,0,3814,4958,0.769262,0,3814,4958,0.769262,7,12,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs3n30.dat,3,31,1,7776,4077,1.90728,0,5023,4077,1.23203,1,9,0,0,4391,5020,0.874701,2,9027,4367,2.06709,0,5369,4367,1.22945,2,9,0,0,3246,4957,0.654832,1,9780,3924,2.49235,0,5449,3924,1.38863,2,5,0,0,3246,4957,0.654832,0,7810,4167,1.87425,0,5144,4167,1.23446,1,5,0,0,3246,4957,0.654832,0,8179,4252,1.92357,0,4934,4252,1.1604,2,5,0,0,3246,4957,0.654832,0,3246,4957,0.654832,6,11,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs4n30.dat,3,31,1,9158,3612,2.53544,0,4931,3612,1.36517,1,6,0,0,3790,3774,1.00424,2,9223,3643,2.5317,0,4808,3643,1.31979,2,7,0,0,3381,3854,0.87727,1,9261,3622,2.55687,0,4907,3622,1.35478,2,5,0,0,3381,3854,0.87727,0,9353,3582,2.61111,0,4756,3582,1.32775,2,5,0,0,3381,3854,0.87727,0,10375,3534,2.93577,0,5112,3534,1.44652,1,5,0,0,3381,3854,0.87727,0,3381,3854,0.87727,6,11,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs5n30.dat,3,31,1,7312,3448,2.12065,0,4354,3448,1.26276,2,10,0,0,3060,4080,0.75,1,7817,3457,2.26121,0,4316,3457,1.24848,2,5,0,0,3060,4080,0.75,0,8325,3283,2.53579,0,4632,3283,1.4109,1,5,0,0,3055,3984,0.766817,0,6745,3391,1.98909,0,4135,3391,1.2194,2,5,0,0,3060,4080,0.75,0,7633,3174,2.40485,0,4466,3174,1.40706,2,5,0,0,3060,4080,0.75,0,3060,4080,0.75,3,10,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs1n35.dat,3,36,1,10302,4101,2.51207,0,4981,4101,1.21458,1,7,0,0,4665,4990,0.93487,3,9266,4122,2.24794,0,5239,4122,1.27098,1,14,0,0,2959,4269,0.693137,2,9500,3582,2.65215,0,4831,3582,1.34869,1,5,0,0,2860,4269,0.669946,2,9203,4223,2.17926,0,4863,4223,1.15155,1,5,0,0,2860,4269,0.669946,0,9047,3400,2.66088,0,4943,3400,1.45382,2,5,0,0,2860,4269,0.669946,0,2860,4269,0.669946,10,13,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs2n35.dat,3,36,1,9674,3662,2.64173,0,5236,3662,1.42982,2,8,0,0,3423,4230,0.80922,2,11018,4084,2.69785,0,5354,4084,1.31097,2,5,0,0,3423,4230,0.80922,0,9918,3864,2.56677,0,5267,3864,1.3631,2,5,0,0,3423,4230,0.80922,0,10077,3710,2.71617,0,5455,3710,1.47035,2,5,0,0,3423,4230,0.80922,0,9354,3572,2.6187,0,5122,3572,1.43393,3,5,0,0,3423,4230,0.80922,0,3423,4230,0.80922,4,13,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs3n35.dat,3,36,1,8704,5112,1.70266,0,5234,5112,1.02387,2,5,0,0,5071,5743,0.882988,2,9363,5017,1.86625,0,5491,5017,1.09448,1,9,0,0,4994,5743,0.86958,3,7982,4307,1.85326,0,5370,4307,1.24681,2,5,0,0,4994,5743,0.86958,0,9231,4589,2.01155,0,5391,4589,1.17477,2,5,0,0,5143,5629,0.913661,0,9363,4539,2.06279,0,5394,4539,1.18837,2,5,0,0,4994,5743,0.86958,0,4994,5743,0.86958,8,14,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs4n35.dat,3,36,1,9377,3532,2.65487,0,5062,3532,1.43318,2,8,0,0,3941,4450,0.885618,2,12055,3684,3.27226,0,5029,3684,1.36509,1,7,0,0,3652,4385,0.832839,2,11596,3564,3.25365,0,5361,3564,1.50421,2,5,0,0,3601,4222,0.852913,0,10351,3305,3.13192,0,5139,3305,1.55492,2,5,0,0,3601,4222,0.852913,0,10802,3595,3.00473,0,5004,3595,1.39193,2,5,0,0,3601,4222,0.852913,0,3652,4385,0.832839,7,13,
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/abls/Instances_highcost_H3/abs5n35.dat,3,36,1,9587,3817,2.51166,0,5474,3817,1.43411,2,21,0,0,2790,3830,0.72846,2,10998,3789,2.90261,0,5520,3789,1.45685,2,5,0,0,2786,3830,0.727415,2,10431,3636,2.86881,0,5344,3636,1.46975,2,5,0,0,2786,3830,0.727415,0,10132,3614,2.80354,0,5267,3614,1.45739,2,5,0,0,2786,3830,0.727415,0,10072,3316,3.03739,0,4951,3316,1.49306,2,5,0,0,2786,3830,0.727415,0,2786,3830,0.727415,8,14,
