,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,NumberOfRebalance,NumberOfRebalanceImproved,RebalanceAveragePercentageImprovement,BestCost,BestQuantity,BestLogisticRatio,Time,GlobalBestCost,GlobalBestQuantity,GlobalBestLogisticRatio,T_To_best,T_Total
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n200_2.dat,6,201,2,76751,58177,1.31927,0,23748,58177,0.408203,64,3,0,0,22524,59225,0.380312,116,73266,57763,1.26839,0,23272,57763,0.402888,51,4,0,0,21880,58224,0.37579,167,73811,58390,1.2641,0,23752,58390,0.406782,55,5,0,0,22324,59452,0.375496,142,73042,58809,1.24202,0,23350,58809,0.397048,51,5,0,0,22224,60735,0.365918,120,78397,56754,1.38135,0,23700,56754,0.417592,49,5,0,0,21416,57318,0.373635,67,22224,60735,0.365918,766,882
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n200_2.dat,6,201,2,74036,58082,1.27468,0,23779,58082,0.409404,53,5,0,0,22423,61238,0.366162,113,71245,58312,1.22179,0,23604,58312,0.404788,52,5,0,0,21941,60411,0.363195,120,71051,59149,1.20122,0,23223,59149,0.392619,49,5,0,0,21849,61097,0.357612,121,68845,59388,1.15924,0,23099,59388,0.388951,51,4,0,0,21766,59218,0.367557,0,71146,58884,1.20824,0,23638,58884,0.401433,127,5,0,0,22301,61889,0.360339,72,21849,61097,0.357612,508,758
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n200_2.dat,6,201,2,72654,54808,1.32561,0,23322,54808,0.425522,50,5,0,0,22454,56890,0.394692,110,71371,54320,1.3139,0,23195,54320,0.427007,55,5,0,0,22284,56861,0.391903,119,69710,55010,1.26722,0,23092,55010,0.419778,55,5,0,0,21902,57380,0.381701,128,71935,55737,1.29061,0,23521,55737,0.422,51,9,0,0,21548,57199,0.37672,140,71829,55181,1.3017,0,23305,55181,0.422337,48,5,0,0,21388,56203,0.380549,59,21548,57199,0.37672,708,815
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n200_2.dat,6,201,2,76947,57827,1.33064,0,23492,57827,0.406246,53,4,0,0,22187,58488,0.379343,102,76963,56981,1.35068,0,24062,56981,0.422281,53,7,0,0,21965,58558,0.375098,140,76582,56768,1.34903,0,23274,56768,0.409984,47,4,0,0,22420,58816,0.381189,0,76693,57939,1.32369,0,23721,57939,0.409413,107,3,0,0,22182,58802,0.377232,66,75776,56696,1.33653,0,23233,56696,0.409782,47,5,0,0,22230,58339,0.381049,0,21965,58558,0.375098,348,615
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n200_2.dat,6,201,2,75352,57847,1.30261,0,23412,57847,0.404723,115,3,0,0,22302,59471,0.375006,134,72875,57842,1.2599,0,23899,57842,0.413177,56,4,0,0,21735,58559,0.371164,104,76053,58595,1.29794,0,23533,58595,0.401621,56,3,0,0,22537,59653,0.377802,69,73494,58097,1.26502,0,23154,58097,0.39854,49,5,0,0,21777,58319,0.373412,92,75100,57429,1.3077,0,23706,57429,0.412788,53,6,0,0,21613,58448,0.369782,128,21613,58448,0.369782,856,856
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n200_2.dat,6,201,2,75975,58801,1.29207,0,23480,58801,0.399313,57,5,0,0,22189,60705,0.365522,109,76247,57660,1.32236,0,23389,57660,0.405636,56,4,0,0,21673,58738,0.368977,72,73866,56830,1.29977,0,22236,56830,0.391272,53,4,0,0,21286,60405,0.352388,118,73659,58564,1.25775,0,22932,58564,0.391572,50,3,0,0,21305,59557,0.357725,72,76062,57954,1.31245,0,22894,57954,0.395037,55,5,0,0,21433,58803,0.364488,2,21286,60405,0.352388,465,644
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs7n200_2.dat,6,201,2,75868,51018,1.48708,0,24653,51018,0.483222,129,5,0,0,23731,52689,0.450398,113,74872,50365,1.48659,0,24522,50365,0.486886,53,3,0,0,23550,52408,0.449359,120,73968,50019,1.4788,0,24069,50019,0.481197,58,4,0,0,22849,52917,0.431789,156,73712,50937,1.44712,0,24160,50937,0.474311,56,3,0,0,21353,48240,0.442641,0,74795,50933,1.4685,0,24481,50933,0.480651,103,4,0,0,22918,52212,0.438941,0,22849,52917,0.431789,629,788
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs8n200_2.dat,6,201,2,72246,55506,1.30159,0,23478,55506,0.422981,127,4,0,0,22385,57547,0.388986,151,70389,54571,1.28986,0,23516,54571,0.430925,63,3,0,0,21885,55578,0.393771,0,71436,54195,1.31813,0,23247,54195,0.428951,162,4,0,0,22179,56105,0.395312,90,69836,55213,1.26485,0,23228,55213,0.420698,61,3,0,0,22003,55603,0.395716,0,70108,54149,1.29472,0,23517,54149,0.434302,167,5,0,0,21847,55995,0.39016,66,22385,57547,0.388986,278,887
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs9n200_2.dat,6,201,2,72561,54943,1.32066,0,23688,54943,0.431138,62,4,0,0,22522,56314,0.399936,111,77947,54477,1.43082,0,24567,54477,0.450961,63,4,0,0,22634,56101,0.403451,100,77315,54819,1.41037,0,24133,54819,0.440231,57,7,0,0,21376,53543,0.399231,159,74551,55412,1.34539,0,24356,55412,0.439544,58,9,0,0,21433,54886,0.3905,166,74394,54725,1.35942,0,24344,54725,0.444842,59,6,0,0,20898,54555,0.383063,153,20898,54555,0.383063,988,988
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs10n200_2.dat,6,201,2,73580,56707,1.29755,0,23349,56707,0.411748,56,5,0,0,22152,58167,0.380834,170,72701,56762,1.2808,0,23005,56762,0.405289,60,4,0,0,21600,57974,0.372581,157,71474,57326,1.2468,0,23015,57326,0.401476,59,5,0,0,21669,58762,0.368759,160,70287,57536,1.22162,0,22722,57536,0.394918,57,4,0,0,21489,57578,0.373215,107,73031,56124,1.30124,0,23124,56124,0.412016,53,4,0,0,21680,59142,0.366575,144,21680,59142,0.366575,1023,1023
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_3.dat,6,51,3,30174,13537,2.229,0,15711,13537,1.1606,18,6,0,0,16481,15293,1.07768,21,28897,13034,2.21705,0,15506,13034,1.18966,18,5,0,0,16329,15293,1.06774,21,31579,13050,2.41985,0,16324,13050,1.25088,21,5,0,0,16314,15293,1.06676,21,33249,13703,2.4264,0,16562,13703,1.20864,19,7,0,0,15215,14635,1.03963,20,32823,13337,2.46105,0,16373,13337,1.22764,21,6,0,0,15210,14686,1.03568,20,15210,14686,1.03568,200,200
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n50_3.dat,6,51,3,31887,13478,2.36586,0,16353,13478,1.21331,17,10,0,0,13844,12614,1.09751,19,33475,13606,2.46031,0,16914,13606,1.24313,17,5,0,0,13934,12626,1.1036,0,36312,13158,2.75969,0,16456,13158,1.25065,18,5,0,0,14026,12651,1.10869,2,33549,13105,2.56002,0,16190,13105,1.23541,18,5,0,0,14026,12651,1.10869,1,35756,13115,2.72634,0,15922,13115,1.21403,20,5,0,0,14026,12651,1.10869,1,13844,12614,1.09751,36,113
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs3n50_3.dat,6,51,3,30328,13726,2.20953,0,14790,13726,1.07752,17,16,0,0,13794,13868,0.994664,23,31850,13564,2.34813,0,14673,13564,1.08176,18,6,0,0,13318,13891,0.95875,20,32649,13447,2.42798,0,15604,13447,1.16041,20,5,0,0,13374,13840,0.966329,1,29431,13053,2.25473,0,14653,13053,1.12258,18,7,0,0,13068,14072,0.928653,19,31644,13120,2.41189,0,14690,13120,1.11966,17,5,0,0,13005,13892,0.93615,2,13068,14072,0.928653,136,155
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs4n50_3.dat,6,51,3,32642,13584,2.40297,0,15725,13584,1.15761,15,5,0,0,15858,14454,1.09714,19,33763,13552,2.49137,0,15914,13552,1.17429,18,5,0,0,15606,14511,1.07546,20,31256,13595,2.29908,0,15553,13595,1.14402,17,5,0,0,15538,14328,1.08445,2,34005,13591,2.50202,0,15871,13591,1.16776,18,5,0,0,14191,13054,1.0871,1,32523,13552,2.39987,0,16054,13552,1.18462,17,5,0,0,15196,14278,1.06429,18,15196,14278,1.06429,145,145
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs5n50_3.dat,6,51,3,31746,13374,2.37371,0,15128,13374,1.13115,19,6,0,0,14767,14202,1.03978,20,31669,13612,2.32655,0,15343,13612,1.12717,17,7,0,0,14748,14202,1.03845,23,33950,13010,2.60953,0,15663,13010,1.20392,19,5,0,0,13609,13050,1.04284,0,30753,13045,2.35745,0,15525,13045,1.19011,21,5,0,0,15280,14057,1.087,0,32118,13305,2.41398,0,15681,13305,1.17858,22,5,0,0,15260,14560,1.04808,2,14748,14202,1.03845,79,143
/home/andy/Desktop/Curtin/IRPLR/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs6n50_3.dat,6,51,3,30940,15091,2.05023,0,14908,15091,0.987874,16,5,0,0,14956,15555,0.961491,19,28515,14790,1.92799,0,15134,14790,1.02326,18,5,0,0,15745,16249,0.968983,0,33718,14899,2.2631,0,15819,14899,1.06175,19,5,0,0,15456,15889,0.972748,1,30344,14971,2.02685,0,15534,14971,1.03761,19,5,0,0,14693,15108,0.972531,2,32702,15450,2.11663,0,15888,15450,1.02835,17,5,0,0,14969,15745,0.950715,18,14969,15745,0.950715,129,129
