,#TimePeriods,#Customer,#Vehicle,Cost,Quantity,LogisticRatio,T_InitialSchedule,CostAfterHGS,Quantity,LogisticRatio,T_InitialSolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_2.dat,6,51,3,44787.9,13366,3.35089,0,13669,13366,1.02267,10,43492.9,13286,3.27359,0,14710.1,13286,1.10719,12,40185.6,13497,2.97737,0,14105.6,13497,1.04509,11,42936.6,12995,3.30409,0,13636.4,12995,1.04935,12,43603.3,12920,3.37487,0,13986.4,12920,1.08254,12,36586.2,13245,2.76226,0,13751.1,13245,1.03821,10,38740,12986,2.98321,0,13550.8,12986,1.0435,11,41761.2,13105,3.18666,0,13431.9,13105,1.02494,11,40268.9,12773,3.15266,0,14082.9,12773,1.10255,11,41743.1,13561,3.07817,0,13787.6,13561,1.01671,11
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_3.dat,6,51,4,43950.9,13753,3.19573,0,15663.7,13753,1.13893,13,42788.9,13424,3.18749,0,16249.4,13424,1.21047,15,46883.5,13752,3.40921,0,16496.3,13752,1.19956,15,43365.4,13565,3.19686,0,16263.6,13565,1.19894,14,42568.6,13069,3.25722,0,15731.1,13069,1.2037,14,42152.8,13462,3.13124,0,15920.5,13462,1.18263,14,45190.3,12997,3.47698,0,16193.5,12997,1.24594,13,41402.3,13308,3.11109,0,15646.3,13308,1.17571,14,42470,13586,3.12601,0,15770.7,13586,1.16081,14,43237.2,13389,3.22931,0,16111.1,13389,1.20331,15
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_4.dat,6,51,5,41927.5,13501,3.10551,0,17577.3,13501,1.30193,14,47278.3,13416,3.52403,0,19123.9,13416,1.42545,17,46214.6,13530,3.41571,0,18555.4,13530,1.37142,15,43662.6,13329,3.27576,0,18647.2,13329,1.39899,16,48117.3,13668,3.52043,0,19170.1,13668,1.40255,17,45280,13337,3.39507,0,18180.3,13337,1.36315,18,46055.6,13488,3.41456,0,18363.4,13488,1.36146,18,44816.9,13667,3.27921,0,18365.4,13667,1.34377,17,43572.1,13568,3.21139,0,18198.1,13568,1.34125,17,42334.3,13623,3.10756,0,18755.1,13623,1.37672,17
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs1n50_5.dat,6,51,6,45108.1,12763,3.53429,0,20258.4,12763,1.58728,18,47585.9,13382,3.55596,0,20828.5,13382,1.55646,19,45680.4,13765,3.31859,0,21346.1,13765,1.55075,19,44386,13185,3.3664,0,20534.5,13185,1.55741,16,48337.9,13213,3.65836,0,20364.8,13213,1.54127,16,47766.4,13004,3.67321,0,20195.1,13004,1.55299,17,47249.7,13348,3.53983,0,20554.2,13348,1.53987,18,42566.6,12861,3.30975,0,19663.3,12861,1.52891,15,43757.9,13687,3.19704,0,20286.9,13687,1.4822,15,47977.4,13112,3.65905,0,20518.8,13112,1.56489,15
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n100_2.dat,6,101,3,78058.7,26490,2.94672,0,17252,26490,0.651265,20,81862.2,26121,3.13396,0,17175.2,26121,0.657525,21,76510.4,26075,2.93424,0,17604.9,26075,0.675164,20,79313.8,25540,3.10547,0,17008.9,25540,0.66597,20,75459.4,26668,2.82959,0,17691.5,26668,0.663397,23,76688.7,26665,2.876,0,17285.4,26665,0.648245,20,73613.6,25834,2.84949,0,16981.6,25834,0.657334,20,77218,26684,2.89379,0,16777,26684,0.628728,21,80618.9,25657,3.14218,0,16926.6,25657,0.659727,22,80993.2,26320,3.07725,0,17609.2,26320,0.669041,22
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n100_3.dat,6,101,4,75703,25956,2.91659,0,17689.1,25956,0.681503,24,77631.4,26267,2.95547,0,17891.7,26267,0.681148,25,77664.4,25951,2.99273,0,17657,25951,0.680398,26,85772,26447,3.24316,0,18008.4,26447,0.680925,26,79335.7,27078,2.9299,0,17894.2,27078,0.660839,25,80076.7,26172,3.05963,0,18128.7,26172,0.692675,26,83909.1,26160,3.20754,0,18656,26160,0.713151,27,75339.7,26049,2.89223,0,17724.6,26049,0.680434,26,79143.8,26316,3.00744,0,18372.4,26316,0.698146,26,79154.3,26499,2.98707,0,18031.3,26499,0.68045,26
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n100_4.dat,6,101,5,81691.5,26774,3.05115,0,19324.6,26774,0.721768,29,76871.2,26198,2.93424,0,18441.7,26198,0.703935,25,80752,26580,3.03807,0,19174,26580,0.721369,28,81542.9,26292,3.10144,0,19066.3,26292,0.725175,29,80617.7,26385,3.05544,0,19139.1,26385,0.725377,27,77287.9,25904,2.98363,0,19098.7,25904,0.737287,27,78418.1,25950,3.02189,0,18945.4,25950,0.730073,27,78903,26852,2.93844,0,19138.2,26852,0.712728,28,79269.4,26029,3.04542,0,18969.3,26029,0.728777,28,78203.1,26405,2.96168,0,19124.8,26405,0.724288,29
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n100_5.dat,6,101,6,84820.7,25972,3.26585,0,19884.6,25972,0.765618,29,80883,25648,3.15358,0,19569.5,25648,0.763001,27,83658,25793,3.24344,0,20117.6,25793,0.779965,32,84420.3,25752,3.2782,0,19905.5,25752,0.772967,28,81351,25623,3.17492,0,19452,25623,0.759163,28,79805.1,26176,3.04879,0,20089.6,26176,0.767483,28,80425.2,26178,3.07224,0,20123.8,26178,0.768729,29,74514.6,25999,2.86606,0,20129.9,25999,0.774259,29,78323.7,26083,3.00287,0,20244.5,26083,0.776157,29,79100,25704,3.07734,0,19992.8,25704,0.777811,26
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n200_2.dat,6,201,3,154881,58937,2.62791,0,23738.5,58937,0.402778,42,149927,60358,2.48397,0,23499.1,60358,0.389329,44,152868,58807,2.59948,0,23605,58807,0.401398,48,154730,59266,2.61077,0,23577,59266,0.397817,44,157916,59416,2.65781,0,23388.1,59416,0.393634,46,152918,58700,2.60508,0,23260.4,58700,0.396259,47,154859,58921,2.62824,0,23664.1,58921,0.401624,60,148408,58692,2.5286,0,23529.6,58692,0.4009,53,144313,58892,2.45047,0,23774.7,58892,0.4037,44,150724,58343,2.58342,0,23288.4,58343,0.399163,43
/home/andy/Desktop/Curtin/IRPLR/Data/mvirp/Big_Instances/Istanze0105/abs2n200_3.dat,6,201,4,151433,59514,2.54449,0,24060.6,59514,0.404285,60,149317,59760,2.49862,0,24287.5,59760,0.406417,56,159998,58399,2.73973,0,24272.8,58399,0.415637,53,150419,60134,2.50139,0,24143.1,60134,0.401488,59,154630,58993,2.62116,0,24037.2,58993,0.407459,56,147915,58389,2.53326,0,23784.5,58389,0.407346,51,153238,58223,2.63191,0,23745.6,58223,0.407839,59,151112,58872,2.56679,0,23626.3,58872,0.401317,54,148236,58764,2.52256,0,23825.7,58764,0.405447,53,152245,59218,2.57093,0,24210.1,59218,0.40883,54
